calibr_id,rfm_id,smile,ikey,name,source,source_id,status
CBR-001-574-225-3,RFM-003-021-7,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,DKNUPRMJNUQNHR-UHFFFAOYSA-N,RXDX-105,Selleck Chemicals,S8015,plated and available for follow-up
CBR-001-844-127-5,RFM-007-241-3;RFM-001-659-1;RFM-000-670-2,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,TYZROVQLWOKYKF-ZDUSSCGKSA-N,LINEZOLID,AK Scientific,J90009,plated and available for follow-up
CBR-050-266-108-7,,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,VPVOXUSPXFPWBN-VKHMYHEASA-N,Sepiapterin,Sigma-Aldrich,S154,plated and available for follow-up
CBR-050-265-273-5,,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,SWUARLUWKZWEBQ-VQHVLOKHSA-N,Caffeic acid phenethyl ester,Sigma-Aldrich,C8221,plated and available for follow-up
CBR-001-572-934-7,RFM-001-864-4,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,QFCXANHHBCGMAS-UHFFFAOYSA-N,telatinib,A2Z Chemical,AZM14898,plated and available for follow-up
CBR-001-571-476-8,RFM-000-461-5,O=C(O)c1ccccc1OP(=O)(O)O,FFKUDWZICMJVPA-UHFFFAOYSA-N,fosfosal,Life Chemicals,F9995-1274,plated and available for follow-up
CBR-001-851-646-6,,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NCDNCNXCDXHOMX-XGKFQTDJSA-N,RITONAVIR,Pharmaron,155213-67-5,plated and available for follow-up
CBR-001-633-455-7,,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,NAXSRXHZFIBFMI-UHFFFAOYSA-N,GW 3965 (hydrochloride),Selleck Chemicals,S2630,not plated but available for one-off testing
CBR-001-845-885-0,RFM-002-224-2,COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,XNBRWUQWSKXMPW-UHFFFAOYSA-N,tozadenant,BLD Pharma,BD234839,plated and available for follow-up
CBR-050-190-535-7,RFM-006-866-6,CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N,,Target Molecule Corp.,T0449,plated and available for follow-up
